,DT_COMPTC,CAPTC_DIA,RESG_DIA,IBOV,Dol,NDX,SPX,Fluxo
3606,2019-05-17,475108374.69000006,142132189.04000005,89992.7,4.0987,7503.68,2859.53,332976185.65
3607,2019-05-20,468388037.4,489261890.13000005,91946.2,4.0958,7376.7,2840.23,-20873852.73000008
3608,2019-05-21,400560905.64000016,402342416.79999995,94484.6,4.039,7451.02,2864.36,-1781511.1599997878
3609,2019-05-22,270461329.27,135437147.95000002,94360.7,4.0395,7420.66,2856.27,135024181.31999996
3610,2019-05-23,267220898.1300001,303857909.07000005,93910.0,4.04,7307.93,2822.24,-36637010.93999994
3611,2019-05-24,444353701.6700002,242159653.41999993,93627.8,4.0229,7300.96,2826.06,202194048.25000027
3612,2019-05-27,140533678.79000002,212596714.41999984,94864.3,4.0419,,,-72063035.62999982
3613,2019-05-28,270086529.03999996,173707494.51,96392.8,4.0257,7278.38,2802.39,96379034.52999997
3614,2019-05-29,409694859.5900003,188969843.8300001,96566.6,3.9743,7216.86,2783.02,220725015.76000017
3615,2019-05-30,244989582.01000002,194367605.35999995,97457.4,3.982,7245.4,2788.86,50621976.650000066
3616,2019-05-31,917271468.6200002,810571956.9600002,97030.3,3.9229,7127.96,2752.06,106699511.66000009
3617,2019-06-03,293159225.25,244390807.7399996,97020.5,3.8862,6978.02,2744.45,48768417.51000041
3618,2019-06-04,278034833.2299999,246094711.63999996,97380.3,3.857,7166.75,2803.27,31940121.589999944
3619,2019-06-05,288716202.78,226115414.71999994,95998.8,3.8812,7220.9,2826.15,62600788.06000003
3620,2019-06-06,373421306.9,172778493.41000006,97204.9,3.8808,7275.93,2843.49,200642813.48999992
3621,2019-06-07,386275208.4999997,183899446.03000015,97821.3,3.881,7417.29,2873.34,202375762.46999955
3622,2019-06-10,381316351.96000004,301028799.33000016,97466.7,3.889,7501.93,2886.73,80287552.62999988
3623,2019-06-11,362599402.3799999,298585726.02,98960.0,3.8575,7513.85,2885.72,64013676.359999895
3624,2019-06-12,628176324.63,222180906.04999986,98320.9,3.8677,7472.29,2879.84,405995418.58000016
3625,2019-06-13,421668474.2499999,348312030.46999985,98773.7,3.8494,7510.68,2891.64,73356443.78000003
3626,2019-06-14,546820147.96,283323864.22999996,98040.1,3.8964,7479.11,2886.98,263496283.73000008
3627,2019-06-17,581494325.6800005,232536748.46,97623.3,3.8889,7526.52,2889.67,348957577.2200005
3628,2019-06-18,369539045.2400002,222431590.27999994,99404.4,3.8605,7635.4,2917.75,147107454.96000025
3629,2019-06-19,340433082.19000006,226046995.38000005,100303.4,3.8398,7667.74,2926.46,114386086.81
3630,2019-06-21,414091213.20000017,318137728.50000006,102012.6,3.8222,7728.78,2950.46,95953484.7000001
3631,2019-06-24,1626311639.5200007,359954040.5900002,102062.3,3.825,7723.02,2945.35,1266357598.9300005
3632,2019-06-25,475081760.88000005,314308395.3200001,100093.0,3.8488,7591.54,2917.38,160773365.55999994
3633,2019-06-26,789246866.9500005,308339889.85999995,100688.6,3.8452,7627.05,2913.78,480906977.09000057
3634,2019-06-27,709869311.3100005,222051796.28000003,100724.0,3.8202,7657.05,2924.92,487817515.0300005
3635,2019-06-28,544149468.7499998,356490516.85999995,100967.2,3.8497,7671.08,2941.76,187658951.8899998
3636,2019-07-01,531069712.1300001,258830359.61999997,101339.7,3.8422,7768.14,2964.33,272239352.5100001
3637,2019-07-02,520517994.4799997,194248345.2800001,100605.2,3.8473,7799.82,2973.01,326269649.19999963
3638,2019-07-03,414363496.63999987,483069922.49000007,102043.1,3.8277,7857.69,2995.82,-68706425.8500002
3639,2019-07-04,438839352.17999995,180238250.2300001,103636.2,3.8006,,,258601101.94999984
3640,2019-07-05,466673991.5700002,341728567.41000026,104089.5,3.8214,7841.3,2990.41,124945424.1599999
3641,2019-07-08,585830794.2799999,226362934.95999998,104530.2,3.8089,7785.79,2975.95,359467859.3199999
3642,2019-07-09,149744338.05,75920657.88000003,,3.7958,7826.86,2979.63,73823680.16999999
3643,2019-07-10,633381529.0399998,257604366.24999997,105817.1,3.755,7903.4,2993.07,375777162.78999984
3644,2019-07-11,703737238.7600001,467537843.12,105146.4,3.7546,7896.78,2999.91,236199395.6400001
3645,2019-07-12,628692840.96,324501559.0200002,103906.0,3.7375,7943.24,3013.77,304191281.9399998
3646,2019-07-15,535900895.16,273989469.6000001,103802.7,3.757,7966.93,3014.3,261911425.55999994
3647,2019-07-16,512459610.16999996,182185697.39000002,103775.4,3.7691,7927.08,3004.04,330273912.78
3648,2019-07-17,561529306.5900002,223411946.81000003,103855.5,3.7653,7888.76,2984.42,338117359.7800001
3649,2019-07-18,489665175.34,286854548.7800001,104716.6,3.7205,7904.13,2995.11,202810626.55999988
3650,2019-07-19,524804006.8399999,114679869.97999991,103451.9,3.7486,7834.9,2976.61,410124136.86
3651,2019-07-22,536134631.35000014,169855761.88000003,103949.5,3.7405,7905.12,2985.03,366278869.47000015
3652,2019-07-23,570851302.33,108257108.67999999,103704.3,3.7745,7954.56,3005.47,462594193.65000004
3653,2019-07-24,425389884.60999995,377045444.92,104119.5,3.7738,8010.61,3019.56,48344439.68999994
3654,2019-07-25,762322658.0199997,283572361.92,102654.6,3.7794,7929.87,3003.67,478750296.0999997
3655,2019-07-26,673578093.6399997,127485806.38000005,102818.9,3.7778,8016.95,3025.86,546092287.2599998
3656,2019-07-29,835207476.3600001,323457904.4500002,103482.6,3.7814,7989.08,3020.97,511749571.9099999
3657,2019-07-30,672153328.2899997,134890542.14999995,102932.8,3.7909,7952.47,3013.18,537262786.1399997
3658,2019-07-31,730469049.4100001,260136341.76999998,101812.1,3.8115,7848.78,2980.38,470332707.6400001
3659,2019-08-01,677793730.5199995,177436135.36999992,102125.9,3.8404,7801.15,2953.56,500357595.1499996
3660,2019-08-02,671786066.11,145296311.32,102673.7,3.8886,7692.8,2932.05,526489754.79
3661,2019-08-05,1076159128.7099996,587844425.4099997,100097.8,3.9762,7415.69,2844.74,488314703.29999983
3662,2019-08-06,780763810.1099999,327111454.7300002,102163.7,3.9623,7521.32,2881.77,453652355.3799997
3663,2019-08-07,713772470.1599998,369896485.9099999,102782.4,3.9702,7551.9,2883.98,343875984.24999994
3664,2019-08-08,709363567.42,194941221.64999995,104115.2,3.9189,7724.83,2938.09,514422345.77
3665,2019-08-09,652393616.4400007,170329461.32999995,103996.2,3.9425,7646.27,2918.65,482064155.1100007
3666,2019-08-12,745370972.2800006,208244341.98000002,101915.2,3.9851,7561.68,2883.75,537126630.3000005
3667,2019-08-13,804885395.44,207384437.36,103299.5,3.9676,7728.15,2926.32,597500958.08
3668,2019-08-14,736653573.5799997,224411956.89000005,100258.0,4.0518,7490.13,2840.6,512241616.68999964
3669,2019-08-15,667924630.6100005,261480412.22999987,99056.9,3.9925,7484.89,2847.6,406444218.3800006
3670,2019-08-16,889653785.6,260788902.82000008,99805.8,4.0059,7604.11,2888.68,628864882.78
3671,2019-08-19,632119245.9900004,345558529.77999985,99468.7,4.0746,7719.32,2923.65,286560716.2100005
3672,2019-08-20,501771647.54,213646622.15,99222.3,4.0556,7664.47,2900.51,288125025.39
3673,2019-08-21,559625417.1100003,340404612.14,101201.9,4.0281,7733.22,2924.43,219220804.97000027
3674,2019-08-22,640018287.8599997,338630436.30000025,100011.3,4.0717,7707.43,2922.95,301387851.5599994
3675,2019-08-23,781796636.7600003,372331449.94999987,97667.5,4.1233,7465.0,2847.11,409465186.8100005
3676,2019-08-26,669047625.6700003,298608290.4700002,96429.6,4.1564,7575.02,2878.38,370439335.2000001
3677,2019-08-27,924272544.9000002,288606320.9000001,97276.2,4.1311,7566.03,2869.16,635666224.0000001
3678,2019-08-28,476551470.70999974,4087326501.1499963,98193.5,4.1681,7587.9,2887.94,-3610775030.4399967
3679,2019-08-29,435945115.46000004,798701585.2099999,100524.4,4.1707,7702.31,2924.58,-362756469.7499999
3680,2019-08-30,1550197528.23,317237144.37000006,101134.6,4.1455,7691.0,2926.46,1232960383.86
3681,2019-09-02,1065046476.4200002,679095309.34,100625.7,4.1876,,,385951167.08000016
3682,2019-09-03,556462123.4600002,325056320.27,99680.8,4.1682,7609.51,2906.27,231405803.19000018
3683,2019-09-04,523819687.8099999,342096218.60999995,101200.9,4.0936,7719.25,2937.78,181723469.19999993
3684,2019-09-05,540720532.0599997,208766248.58999997,102243.0,4.1111,7862.54,2976.0,331954283.46999973
3685,2019-09-06,700450182.2699995,432185158.00999993,102935.4,4.0621,7852.54,2978.71,268265024.25999957
3686,2019-09-09,679073572.8599995,487224632.5299999,103180.6,4.0975,7832.4,2978.43,191848940.32999963
3687,2019-09-10,651979816.2599999,377790936.26000005,103031.5,4.0822,7814.74,2979.39,274188879.9999998
3688,2019-09-11,621832208.58,334481325.56999993,103445.6,4.0682,7887.58,3000.93,287350883.0100001
3689,2019-09-12,730951936.7099998,363408673.5599998,104370.9,4.0635,7917.34,3009.57,367543263.15
3690,2019-09-13,1096522770.43,576524852.2700001,103501.2,4.0868,7892.96,3007.39,519997918.15999997
3691,2019-09-16,882783995.1799996,594798065.7700003,103680.4,4.0805,7852.41,2997.96,287985929.40999925
3692,2019-09-17,572822763.3599998,560225698.1799997,104616.9,4.0768,7888.79,3005.7,12597065.180000067
3693,2019-09-18,592754236.5200001,310484158.65,104531.9,4.1105,7888.56,3006.73,282270077.8700001
3694,2019-09-19,599654418.4799999,178533795.38999996,104339.2,4.1675,7901.79,3006.79,421120623.0899999
