"Index","N100.Close","N100.Volume","FTSE.Close","FTSE.Volume","N225.Close","N225.Volume","HSI.Close","HSI.Volume","EUR.Close","JPY.Close","AUD.Close","GBP.Close","CNY.Close"
2005-03-30,696.960022,0,4900.700195,1569511200,11565.879883,94300000,13425.75,312026400,0.77429,107.529999,NA,0.53265,8.266501
2005-03-31,697.75,0,4894.399902,1718364500,11668.950195,73200000,13516.879883,427842000,0.77119,107.139999,NA,0.52924,8.266501
2005-04-01,698.950012,0,4914,1732700100,11723.629883,79400000,13491.349609,323861600,0.77465,107.660004,NA,0.53076,8.266501
2005-04-04,695.340027,0,4896.700195,1293784900,11667.540039,79600000,13513.410156,287550800,0.77821,108.279999,NA,0.53296,8.266501
2005-04-05,700.320007,0,4942.899902,1891465600,11774.30957,80400000,NA,NA,0.77773,108.269997,NA,0.53194,8.266501
2005-04-06,703.619995,0,4947.399902,1619842700,11827.160156,72300000,13562.259766,355905600,0.77718,108.68,NA,0.53206,8.266501
2005-04-07,706.679993,0,4977,1686661800,11810.990234,8.3e+07,13602.349609,264334800,0.77821,108.589996,NA,0.53456,8.266501
2005-04-08,707.159973,0,4983.700195,1402982400,11874.75,90800000,13666.719727,245676800,0.7731,108.160004,NA,0.53011,8.266501
2005-04-11,705.609985,0,4973.299805,1155338300,11745.639648,65600000,13659.929688,242422400,0.77095,107.730003,NA,0.52902,8.266501
2005-04-12,702.51001,0,4946.200195,1342085300,11670.299805,62100000,13658.049805,165573600,0.77429,107.800003,NA,0.52876,8.266501
2005-04-13,705.369995,0,4960.799805,1386459800,11637.519531,72100000,13799.620117,230154200,0.77447,107.32,NA,0.5279,8.266501
2005-04-14,703.48999,0,4945.399902,1600781900,11563.169922,81800000,13772.400391,323550000,0.78156,108.300003,NA,0.53206,8.266501
2005-04-15,692.150024,0,4891.600098,1686702900,11370.69043,95400000,13638.75,299358000,0.777,107.709999,NA,0.52821,8.266501
2005-04-18,677.580017,0,4827.100098,1851228300,10938.44043,130800000,13355.230469,502135000,0.76817,107.43,NA,0.52513,8.266501
2005-04-19,680.409973,0,4855.600098,1521697000,11065.860352,100200000,13444.089844,224729200,0.7654,106.860001,NA,0.52159,8.266501
2005-04-20,677.48999,0,4822,1638336400,11088.580078,8.5e+07,13501.629883,187061600,0.76412,106.849998,NA,0.52127,8.266501
2005-04-21,677.48999,0,4819.600098,1608917000,10984.389648,102200000,13597.30957,312422000,0.76646,106.769997,NA,0.52383,8.266501
2005-04-22,681.700012,0,4849.299805,1176245700,11045.950195,82600000,13693.549805,300321600,0.76558,105.949997,NA,0.52247,8.266501
2005-04-25,683.619995,0,4864.899902,1118656600,11073.769531,58100000,13750.230469,255959400,0.76959,105.709999,NA,0.52312,8.266501
2005-04-26,682.900024,0,4845.5,1464104600,11035.830078,65300000,13859.580078,389263800,0.77012,106.120003,NA,0.52474,8.266501
2005-04-27,671.700012,0,4789.399902,1816257200,11005.419922,82700000,13839.639648,177705600,0.77393,105.93,NA,0.52535,8.266501
2005-04-28,668.140015,0,4790.200195,1962760600,11008.900391,105600000,13909.419922,339914600,0.77489,106.040001,NA,0.52416,8.266501
2005-04-29,669.179993,0,4801.700195,1597028200,NA,NA,13908.969727,309020000,0.77664,104.650002,NA,0.5237,8.266501
2005-05-02,672.549988,0,NA,NA,11002.110352,59600000,NA,NA,0.77845,105.099998,NA,0.52776,8.266501
2005-05-03,674.590027,0,4861.299805,1677844300,NA,NA,13893.980469,231424400,0.77598,104.870003,NA,0.52807,8.266501
2005-05-04,678.830017,0,4882.5,1642389600,NA,NA,13945.049805,245271200,0.7722,104.519997,NA,0.52573,8.266501
2005-05-05,684.669983,0,4902.299805,1326657100,NA,NA,14061.700195,313172200,0.77184,104.510002,NA,0.52562,8.2765
2005-05-06,687.030029,0,4918.899902,1277967200,11192.169922,75600000,14033.959961,272557800,0.78052,105.07,NA,0.52865,8.266501
2005-05-09,684.940002,0,4910.299805,1338782400,11171.320313,81300000,14085.089844,283408200,0.77791,105.709999,NA,0.53056,8.266501
2005-05-10,681.340027,0,4892.399902,1611329700,11159.459961,85100000,14018.379883,235428800,0.77598,105.459999,NA,0.53025,8.266501
2005-05-11,678.590027,0,4875.399902,1529863600,11120.700195,71700000,13939.799805,206986600,0.7804,105.75,NA,0.53376,8.266501
2005-05-12,683.409973,0,4893.299805,1507911000,11077.94043,70600000,13968.280273,194130600,0.78858,106.82,NA,0.53662,8.266501
2005-05-13,683.27002,0,4886.5,1628890100,11049.110352,7.9e+07,13866.80957,223792600,0.79264,107.309998,NA,0.54063,8.266501
2005-05-16,682.210022,0,4884.200195,1103191100,10947.219727,68500000,NA,NA,0.79114,106.849998,NA,0.54377,8.2764
