"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 12, 2013","1,753.16","1,757.10","1,772.56","1,753.16","","-0.33%"
"Mar 11, 2013","1,758.98","1,750.11","1,758.98","1,736.23","","0.54%"
"Mar 08, 2013","1,749.54","1,762.97","1,771.19","1,737.71","","-0.76%"
"Mar 07, 2013","1,762.97","1,752.66","1,796.00","1,752.66","","0.59%"
"Mar 06, 2013","1,752.68","1,685.91","1,761.60","1,685.91","","4.06%"
"Mar 05, 2013","1,684.22","1,706.69","1,746.01","1,684.22","","-1.22%"
"Mar 04, 2013","1,705.03","1,718.28","1,718.28","1,692.13","","-0.81%"
"Mar 01, 2013","1,719.01","1,758.45","1,758.45","1,715.03","","-2.26%"
"Feb 28, 2013","1,758.78","1,749.29","1,775.85","1,738.31","","0.46%"
"Feb 27, 2013","1,750.74","1,753.16","1,759.60","1,736.21","","-0.13%"
"Feb 26, 2013","1,753.04","1,718.65","1,753.57","1,700.83","","1.95%"
"Feb 25, 2013","1,719.50","1,700.35","1,746.42","1,690.45","","1.14%"
"Feb 22, 2013","1,700.19","1,691.26","1,711.29","1,685.38","","0.60%"
"Feb 21, 2013","1,690.04","1,686.05","1,701.43","1,662.11","","0.21%"
"Feb 20, 2013","1,686.42","1,743.89","1,747.48","1,686.25","","-3.30%"
"Feb 19, 2013","1,743.89","1,761.89","1,781.51","1,743.89","","-1.01%"
"Feb 18, 2013","1,761.66","1,783.68","1,786.48","1,753.80","","-1.21%"
"Feb 15, 2013","1,783.19","1,796.42","1,798.62","1,775.97","","-0.74%"
"Feb 14, 2013","1,796.55","1,810.13","1,810.13","1,780.41","","-0.75%"
"Feb 13, 2013","1,810.13","1,809.29","1,816.73","1,802.72","","0.03%"
"Feb 08, 2013","1,809.55","1,810.79","1,820.81","1,794.91","","-0.07%"
"Feb 07, 2013","1,810.79","1,841.13","1,851.50","1,803.64","","-1.72%"
"Feb 06, 2013","1,842.45","1,835.11","1,845.90","1,817.21","","0.36%"
"Feb 05, 2013","1,835.86","1,830.17","1,850.39","1,816.10","","0.31%"
"Feb 04, 2013","1,830.17","1,861.24","1,861.24","1,814.41","","-1.68%"
"Feb 01, 2013","1,861.43","1,843.54","1,866.36","1,843.05","","1.03%"
"Jan 31, 2013","1,842.41","1,818.77","1,842.62","1,815.65","","1.30%"
"Jan 30, 2013","1,818.83","1,845.31","1,848.71","1,816.43","","-1.44%"
"Jan 29, 2013","1,845.46","1,822.11","1,846.39","1,815.34","","1.30%"
"Jan 28, 2013","1,821.81","1,874.34","1,877.22","1,818.38","","-2.76%"
"Jan 24, 2013","1,873.44","1,914.17","1,918.30","1,862.95","","-2.12%"
"Jan 23, 2013","1,914.11","1,901.58","1,914.11","1,897.56","","0.66%"
"Jan 22, 2013","1,901.58","1,911.22","1,912.40","1,896.39","","-0.48%"
"Jan 21, 2013","1,910.81","1,914.99","1,920.72","1,904.43","","-0.21%"
"Jan 18, 2013","1,914.77","1,925.84","1,932.62","1,911.14","","-0.57%"
"Jan 17, 2013","1,925.84","1,917.42","1,927.93","1,903.56","","0.45%"
"Jan 16, 2013","1,917.20","1,923.90","1,924.40","1,898.11","","-0.36%"
"Jan 15, 2013","1,924.13","1,942.59","1,942.59","1,922.62","","-0.99%"
"Jan 14, 2013","1,943.29","1,922.19","1,948.95","1,922.19","","1.16%"
"Jan 11, 2013","1,920.95","1,932.39","1,933.52","1,905.59","","-0.67%"
"Jan 10, 2013","1,933.86","1,931.20","1,941.88","1,921.26","","0.13%"
"Jan 09, 2013","1,931.40","1,930.20","1,947.62","1,917.97","","0.05%"
"Jan 08, 2013","1,930.46","1,947.20","1,964.04","1,922.29","","-0.89%"
"Jan 07, 2013","1,947.89","1,951.20","1,965.27","1,937.28","","-0.17%"
"Jan 04, 2013","1,951.20","2,003.16","2,003.16","1,950.87","","-2.60%"
"Jan 03, 2013","2,003.20","1,998.94","2,011.78","1,988.28","","0.21%"
"Jan 02, 2013","1,998.94","1,918.53","2,008.51","1,918.53","","4.34%"
"Dec 28, 2012","1,915.81","1,899.75","1,925.04","1,899.21","","0.85%"
"Dec 27, 2012","1,899.75","1,905.59","1,918.93","1,883.14","","-0.23%"
"Dec 26, 2012","1,904.15","1,899.16","1,914.09","1,893.55","","0.21%"
"Dec 21, 2012","1,900.17","1,910.32","1,910.32","1,871.17","","-0.54%"
"Dec 20, 2012","1,910.55","1,906.68","1,923.03","1,894.08","","0.17%"
"Dec 19, 2012","1,907.37","1,914.41","1,921.70","1,900.14","","-0.37%"
"Dec 18, 2012","1,914.37","1,859.44","1,914.37","1,859.44","","2.94%"
"Dec 17, 2012","1,859.70","1,850.68","1,872.98","1,841.90","","0.49%"
"Dec 14, 2012","1,850.72","1,843.32","1,858.48","1,834.15","","0.43%"
"Dec 13, 2012","1,842.72","1,867.65","1,882.22","1,839.36","","-1.31%"
"Dec 12, 2012","1,867.26","1,877.71","1,885.34","1,863.10","","-0.53%"
"Dec 11, 2012","1,877.17","1,860.77","1,881.35","1,856.24","","0.91%"
"Dec 10, 2012","1,860.29","1,837.74","1,861.19","1,822.29","","1.15%"
"Dec 07, 2012","1,839.18","1,803.01","1,847.44","1,803.01","","2.02%"
"Dec 06, 2012","1,802.84","1,817.90","1,821.60","1,790.79","","-0.82%"
"Dec 05, 2012","1,817.68","1,811.92","1,832.60","1,797.91","","0.43%"
"Dec 04, 2012","1,809.84","1,813.14","1,829.68","1,808.05","","-0.15%"
"Dec 03, 2012","1,812.49","1,799.01","1,827.69","1,798.44","","0.76%"
"Nov 30, 2012","1,798.77","1,834.32","1,843.56","1,783.75","","-1.95%"
"Nov 29, 2012","1,834.54","1,776.64","1,834.54","1,776.64","","3.28%"
"Nov 28, 2012","1,776.33","1,756.89","1,777.32","1,734.05","","0.91%"
"Nov 27, 2012","1,760.32","1,783.95","1,807.76","1,760.32","","-1.21%"
"Nov 26, 2012","1,781.91","1,803.21","1,803.21","1,766.38","","-1.23%"
"Nov 23, 2012","1,804.13","1,757.16","1,804.13","1,749.69","","2.74%"
"Nov 22, 2012","1,756.09","1,751.33","1,762.45","1,748.79","","0.28%"
"Nov 21, 2012","1,751.25","1,729.74","1,753.07","1,721.92","","1.24%"
"Nov 19, 2012","1,729.74","1,692.77","1,730.75","1,692.77","","2.32%"
"Nov 16, 2012","1,690.53","1,720.84","1,720.84","1,677.62","","-1.81%"
"Nov 14, 2012","1,721.67","1,765.81","1,766.54","1,709.84","","-2.56%"
"Nov 13, 2012","1,766.84","1,762.74","1,772.03","1,733.22","","0.17%"
"Nov 12, 2012","1,763.89","1,759.30","1,775.94","1,754.24","","0.26%"
"Nov 09, 2012","1,759.26","1,763.01","1,784.35","1,749.16","","-0.25%"
"Nov 08, 2012","1,763.74","1,785.74","1,807.81","1,758.94","","-1.25%"
"Nov 07, 2012","1,786.09","1,816.68","1,822.61","1,773.43","","-1.68%"
"Nov 06, 2012","1,816.68","1,765.22","1,826.33","1,762.00","","2.96%"
"Nov 05, 2012","1,764.42","1,767.53","1,775.51","1,739.64","","-0.19%"
"Nov 01, 2012","1,767.84","1,723.31","1,767.84","1,696.90","","2.57%"
