Date,Price,Open,High,Low,Vol.,Change %
30/03/09,"16,592.51","16,765.90","16,769.70","16,525.15",,-1.10%
27/03/09,"16,776.96","16,816.67","16,862.63","16,744.04",,-0.35%
26/03/09,"16,836.54","16,602.66","16,864.91","16,600.48",,1.93%
25/03/09,"16,517.82","16,501.13","16,656.92","16,425.02",,0.49%
24/03/09,"16,437.61","16,526.31","16,553.19","16,397.40",,-0.64%
23/03/09,"16,542.66","16,374.00","16,592.77","16,349.50",,1.68%
20/03/09,"16,270.09","16,437.65","16,525.31","16,261.20",,-0.84%
19/03/09,"16,408.72","16,489.82","16,667.77","16,388.41",,0.02%
18/03/09,"16,406.04","16,083.49","16,469.35","16,072.86",,1.69%
17/03/09,"16,132.92","15,837.01","16,136.41","15,783.95",,1.82%
16/03/09,"15,845.24","16,022.40","16,115.52","15,821.24",,-0.83%
13/03/09,"15,977.77","16,061.99","16,091.82","15,848.57",,-0.01%
12/03/09,"15,980.15","15,960.78","16,017.01","15,850.63",,0.33%
11/03/09,"15,928.26","16,202.00","16,238.41","15,873.90",,-1.37%
10/03/09,"16,150.11","15,832.59","16,163.40","15,828.16",,2.47%
09/03/09,"15,760.93","15,704.01","15,933.53","15,694.40",,-0.42%
06/03/09,"15,827.16","15,690.10","15,921.66","15,663.99",,1.09%
05/03/09,"15,656.71","15,686.79","15,846.46","15,600.86",,-1.22%
04/03/09,"15,849.29","15,843.68","15,951.81","15,771.57",,1.15%
03/03/09,"15,668.82","15,757.00","15,837.60","15,565.20",,-0.28%
02/03/09,"15,712.04","15,989.55","16,057.37","15,694.93",,-2.80%
27/02/09,"16,164.01","15,873.11","16,250.89","15,823.72",,0.80%
26/02/09,"16,035.02","16,069.56","16,189.15","16,035.02",,0.22%
25/02/09,"15,999.56","15,852.63","16,156.85","15,768.16",,0.04%
20/02/09,"15,992.83","15,964.98","16,075.34","15,897.68",,-0.79%
19/02/09,"16,120.82","16,046.77","16,120.82","15,964.00",,1.10%
18/02/09,"15,945.51","15,840.66","15,945.51","15,756.34",,0.83%
17/02/09,"15,814.58","15,785.41","15,819.61","15,635.14",,-0.76%
16/02/09,"15,935.42","15,826.51","15,935.42","15,688.93",,0.27%
13/02/09,"15,892.96","15,831.16","15,980.46","15,767.17",,1.14%
12/02/09,"15,713.97","15,643.08","15,800.59","15,616.88",,-0.07%
11/02/09,"15,725.28","15,717.71","15,944.13","15,617.12",,0.64%
10/02/09,"15,625.81","15,592.93","15,868.94","15,510.53",,0.38%
09/02/09,"15,566.12","15,587.79","15,657.44","15,508.35",,-0.42%
06/02/09,"15,631.87","15,310.29","15,647.55","15,294.30",,1.79%
05/02/09,"15,357.18","15,131.83","15,402.61","15,055.56",,1.98%
04/02/09,"15,059.31","15,117.49","15,357.00","15,029.55",,-0.50%
03/02/09,"15,135.19","15,054.14","15,140.58","14,953.69",,0.60%
02/02/09,"15,044.99","15,066.00","15,185.90","14,942.20",,-0.89%
30/01/09,"15,180.22","15,308.63","15,361.60","15,132.72",,-0.70%
29/01/09,"15,287.59","15,269.61","15,325.63","15,102.72",,0.27%
28/01/09,"15,246.40","15,303.05","15,357.47","15,194.08",,0.47%
27/01/09,"15,175.20","15,335.01","15,371.95","15,146.74",,-0.97%
