"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 31, 2008","789.61","789.61","789.61","789.61","","-1.12%"
"Jul 30, 2008","798.58","798.58","798.58","798.58","","2.57%"
"Jul 29, 2008","778.56","778.56","778.56","778.56","","1.67%"
"Jul 28, 2008","765.79","765.79","765.79","765.79","","-1.24%"
"Jul 25, 2008","775.39","775.39","775.39","775.39","","-0.02%"
"Jul 24, 2008","775.53","775.53","775.53","775.53","","-1.00%"
"Jul 23, 2008","783.37","783.37","783.37","783.37","","3.85%"
"Jul 22, 2008","754.33","754.33","754.33","754.33","","0.53%"
"Jul 21, 2008","750.34","750.34","750.34","750.34","","0.90%"
"Jul 18, 2008","743.63","743.63","743.63","743.63","","-2.62%"
"Jul 17, 2008","763.66","763.66","763.66","763.66","","-2.88%"
"Jul 16, 2008","786.34","786.34","786.34","786.34","","6.32%"
"Jul 15, 2008","739.57","739.57","739.57","739.57","","3.59%"
"Jul 14, 2008","713.97","713.97","713.97","713.97","","1.01%"
"Jul 11, 2008","706.86","706.86","706.86","706.86","","-1.58%"
"Jul 10, 2008","718.18","718.18","718.18","718.18","","0.52%"
"Jul 08, 2008","714.46","714.46","714.46","714.46","","0.66%"
"Jul 07, 2008","709.76","709.76","709.76","709.76","","-1.16%"
"Jul 04, 2008","718.09","718.09","718.09","718.09","","-0.11%"
"Jul 03, 2008","718.85","718.85","718.85","718.85","","-2.97%"
"Jul 02, 2008","740.86","740.86","740.86","740.86","","-4.53%"
"Jul 01, 2008","776.01","776.01","776.01","776.01","","-3.88%"
"Jun 30, 2008","807.31","807.31","807.31","807.31","","0.22%"
"Jun 27, 2008","805.53","805.53","805.53","805.53","","-0.23%"
"Jun 26, 2008","807.37","807.37","807.37","807.37","","-2.93%"
"Jun 25, 2008","831.75","831.75","831.75","831.75","","2.77%"
"Jun 24, 2008","809.35","809.35","809.35","809.35","","-0.97%"
"Jun 23, 2008","817.30","817.30","817.30","817.30","","0.19%"
"Jun 20, 2008","815.77","815.77","815.77","815.77","","0.25%"
"Jun 19, 2008","813.76","813.76","813.76","813.76","","-2.70%"
"Jun 18, 2008","836.33","836.33","836.33","836.33","","-3.11%"
"Jun 17, 2008","863.21","863.21","863.21","863.21","","1.21%"
"Jun 16, 2008","852.85","852.85","852.85","852.85","","0.26%"
"Jun 13, 2008","850.61","850.61","850.61","850.61","","-0.21%"
"Jun 12, 2008","852.40","852.40","852.40","852.40","","0.76%"
"Jun 11, 2008","845.98","845.98","845.98","845.98","","-2.61%"
"Jun 10, 2008","868.61","868.61","868.61","868.61","","-2.03%"
"Jun 09, 2008","886.57","886.57","886.57","886.57","","-1.26%"
"Jun 06, 2008","897.88","897.88","897.88","897.88","","-3.12%"
"Jun 05, 2008","926.76","926.76","926.76","926.76","","4.02%"
"Jun 04, 2008","890.92","890.92","890.92","890.92","","-1.85%"
"Jun 03, 2008","907.73","907.73","907.73","907.73","","-2.95%"
"Jun 02, 2008","935.29","935.29","935.29","935.29","","-2.23%"
"May 30, 2008","956.62","956.62","956.62","956.62","","2.48%"
"May 29, 2008","933.45","933.45","933.45","933.45","","-0.23%"
"May 28, 2008","935.58","935.58","935.58","935.58","","3.97%"
"May 27, 2008","899.85","899.85","899.85","899.85","","-0.87%"
"May 26, 2008","907.78","907.78","907.78","907.78","","-0.31%"
"May 23, 2008","910.58","910.58","910.58","910.58","","-0.83%"
"May 21, 2008","918.19","918.19","918.19","918.19","","-1.84%"
"May 20, 2008","935.43","935.43","935.43","935.43","","-1.39%"
"May 19, 2008","948.59","948.59","948.59","948.59","","-1.03%"
"May 16, 2008","958.51","958.51","958.51","958.51","","-0.04%"
"May 15, 2008","958.85","958.85","958.85","958.85","","1.84%"
"May 14, 2008","941.55","941.55","941.55","941.55","","-0.57%"
"May 13, 2008","946.92","946.92","946.92","946.92","","0.02%"
"May 12, 2008","946.76","946.76","946.76","946.76","","1.51%"
"May 09, 2008","932.64","932.64","932.64","932.64","","-0.70%"
"May 08, 2008","939.23","939.23","939.23","939.23","","0.15%"
"May 07, 2008","937.81","937.81","937.81","937.81","","-2.39%"
"May 06, 2008","960.76","960.76","960.76","960.76","","-3.37%"
"May 05, 2008","994.22","994.22","994.22","994.22","","-0.27%"
"May 02, 2008","996.94","996.94","996.94","996.94","","8.86%"
"Apr 30, 2008","915.83","915.83","915.83","915.83","","10.53%"
"Apr 29, 2008","828.60","828.60","828.60","828.60","","-1.45%"
"Apr 28, 2008","840.83","840.83","840.83","840.83","","2.97%"
"Apr 25, 2008","816.60","816.60","816.60","816.60","","1.21%"
"Apr 24, 2008","806.80","806.80","806.80","806.80","","-0.03%"
"Apr 23, 2008","807.07","807.07","807.07","807.07","","-1.19%"
"Apr 22, 2008","816.81","816.81","816.81","816.81","","0.74%"
"Apr 18, 2008","810.77","810.77","810.77","810.77","","0.02%"
"Apr 17, 2008","810.60","810.60","810.60","810.60","","-0.80%"
"Apr 16, 2008","817.13","817.13","817.13","817.13","","1.85%"
"Apr 15, 2008","802.30","802.30","802.30","802.30","","0.08%"
"Apr 14, 2008","801.65","801.65","801.65","801.65","","-1.98%"
"Apr 11, 2008","817.84","817.84","817.84","817.84","","0.30%"
"Apr 10, 2008","815.38","815.38","815.38","815.38","","-1.70%"
"Apr 09, 2008","829.51","829.51","829.51","829.51","","-1.74%"
"Apr 08, 2008","844.24","844.24","844.24","844.24","","-0.94%"
"Apr 07, 2008","852.26","852.26","852.26","852.26","","0.14%"
