Date,Price,Open,High,Low,Vol.,Change %
10/28/21,"10,001.81","10,077.73","10,149.86","9,891.58",,-0.75%
10/27/21,"10,077.73","10,015.24","10,292.13","10,014.04",,0.63%
10/26/21,"10,014.30","10,300.20","10,300.20","9,987.04",,-2.78%
10/25/21,"10,300.34","10,092.86","10,374.06","10,092.84",,2.06%
10/22/21,"10,092.75","10,426.33","10,426.33","9,761.37",,-3.20%
10/21/21,"10,426.35","10,714.68","10,714.70","10,253.02",,-2.69%
10/20/21,"10,714.79","10,416.65","10,811.76","10,416.40",,2.86%
10/19/21,"10,416.65","10,803.86","10,804.32","10,342.64",,-3.59%
10/18/21,"10,804.05","10,778.16","10,854.95","10,572.53",,0.24%
10/15/21,"10,778.18","10,446.83","10,804.89","10,446.83",,3.17%
10/14/21,"10,446.81","10,465.29","10,536.97","10,365.93",,-0.18%
10/13/21,"10,465.26","10,275.21","10,500.43","10,223.63",,1.86%
10/11/21,"10,273.80","10,549.63","10,558.85","10,246.28",,-2.61%
10/8/21,"10,549.63","10,331.87","10,743.13","10,330.37",,2.11%
10/7/21,"10,331.82","10,403.07","10,511.79","10,328.60",,-0.68%
10/6/21,"10,403.00","10,382.31","10,411.12","10,135.56",,0.19%
10/5/21,"10,382.90","10,313.62","10,570.05","10,278.17",,0.67%
10/4/21,"10,313.51","10,697.68","10,697.71","10,229.64",,-3.59%
10/1/21,"10,697.23","10,363.79","10,741.42","10,363.44",,3.21%
9/30/21,"10,364.93","10,467.19","10,542.42","10,340.35",,-0.98%
9/29/21,"10,467.19","10,382.07","10,539.42","10,379.87",,0.82%
9/28/21,"10,381.73","10,751.80","10,800.70","10,367.87",,-3.45%
9/27/21,"10,752.30","10,625.35","10,841.92","10,521.93",,1.20%
9/24/21,"10,625.20","10,730.66","10,730.92","10,566.72",,-0.99%
9/23/21,"10,731.23","10,565.85","10,790.45","10,565.85",,1.57%
9/22/21,"10,565.80","10,292.92","10,663.73","10,292.92",,2.65%
9/21/21,"10,292.84","10,235.08","10,397.98","10,225.72",,0.57%
9/20/21,"10,235.01","10,560.74","10,560.74","10,140.42",,-3.09%
9/17/21,"10,560.83","10,802.99","10,803.04","10,548.27",,-2.24%
9/16/21,"10,803.04","10,814.03","10,814.05","10,686.64",,-0.10%
9/15/21,"10,814.08","10,937.85","10,958.56","10,764.77",,-1.13%
9/14/21,"10,937.85","10,962.45","11,087.74","10,896.62",,-0.22%
9/13/21,"10,962.43","10,722.83","11,038.46","10,722.83",,2.29%
9/10/21,"10,716.73","10,804.91","10,999.72","10,699.28",,-0.81%
9/9/21,"10,804.78","10,577.57","10,899.42","10,492.83",,2.15%
9/8/21,"10,577.57","11,203.31","11,203.35","10,555.94",,-5.59%
9/6/21,"11,203.33","11,058.88","11,222.71","11,018.30",,1.30%
9/3/21,"11,059.22","11,136.59","11,208.82","10,936.29",,-0.69%
9/2/21,"11,136.53","11,483.21","11,483.27","11,107.84",,-3.02%
9/1/21,"11,483.87","11,445.27","11,593.64","11,444.79",,0.34%
8/31/21,"11,445.27","11,367.34","11,571.08","11,325.72",,0.68%
8/30/21,"11,367.42","11,501.67","11,501.67","11,339.75",,-1.17%
8/27/21,"11,501.72","11,245.21","11,501.72","11,245.19",,2.28%
8/26/21,"11,245.21","11,441.26","11,479.29","11,242.12",,-1.71%
8/25/21,"11,441.33","11,454.56","11,454.56","11,315.59",,-0.12%
8/24/21,"11,454.74","11,209.18","11,541.71","11,209.18",,2.20%
8/23/21,"11,207.94","11,240.91","11,309.74","11,151.17",,-0.29%
8/20/21,"11,240.87","11,205.34","11,285.25","11,039.48",,0.29%
8/19/21,"11,207.82","11,113.59","11,263.01","10,998.31",,0.84%
8/18/21,"11,114.82","11,161.78","11,362.70","11,092.62",,-0.42%
8/17/21,"11,162.15","11,273.28","11,287.79","10,971.70",,-1.01%
8/16/21,"11,275.58","11,496.40","11,551.21","11,264.35",,-1.94%
8/13/21,"11,498.91","11,366.33","11,509.28","11,213.44",,1.17%
8/12/21,"11,366.35","11,725.86","11,729.89","11,358.05",,-3.07%
8/11/21,"11,725.86","11,787.33","11,860.91","11,616.13",,-0.50%
8/10/21,"11,785.35","11,941.71","11,990.50","11,761.55",,-1.31%
8/9/21,"11,941.67","11,879.56","12,016.07","11,877.51",,0.52%
8/6/21,"11,879.58","11,635.06","11,910.99","11,631.64",,2.10%
8/5/21,"11,635.02","11,699.30","11,910.59","11,580.59",,-0.55%
8/4/21,"11,699.26","11,962.40","11,962.51","11,655.90",,-2.20%
8/3/21,"11,962.41","11,845.68","12,017.33","11,697.47",,0.99%
8/2/21,"11,845.46","11,713.85","12,119.72","11,713.76",,1.12%
7/30/21,"11,713.83","12,020.14","12,083.18","11,688.43",,-2.55%
7/29/21,"12,020.94","12,115.01","12,163.08","11,927.45",,-0.78%
7/28/21,"12,115.01","11,979.01","12,182.61","11,978.59",,1.14%
7/27/21,"11,978.90","12,044.89","12,044.95","11,869.83",,-0.55%
7/26/21,"12,044.95","11,944.75","12,097.91","11,932.96",,0.84%
7/23/21,"11,944.73","12,023.57","12,073.66","11,873.12",,-0.65%
7/22/21,"12,023.02","12,119.51","12,151.81","11,988.84",,-0.80%
7/21/21,"12,119.51","12,060.77","12,182.14","12,043.11",,0.50%
7/20/21,"12,059.64","11,944.42","12,099.26","11,838.01",,0.96%
7/19/21,"11,944.48","12,050.45","12,050.45","11,833.96",,-0.89%
7/16/21,"12,052.06","12,256.45","12,305.02","12,042.91",,-1.67%
7/15/21,"12,256.27","12,343.97","12,381.73","12,174.24",,-0.71%
7/14/21,"12,343.97","12,210.09","12,497.45","12,210.09",,1.10%
7/13/21,"12,210.01","12,187.48","12,263.09","12,008.89",,0.19%
7/12/21,"12,187.17","11,910.09","12,227.15","11,910.09",,2.33%
7/8/21,"11,910.09","12,048.96","12,048.96","11,778.28",,-1.15%
7/7/21,"12,049.12","11,904.96","12,068.04","11,855.27",,1.21%
7/6/21,"11,904.92","12,052.41","12,059.54","11,871.07",,-1.22%
7/5/21,"12,052.54","12,215.79","12,224.30","12,039.90",,-1.34%
7/2/21,"12,216.23","12,057.69","12,230.33","12,049.60",,1.32%
7/1/21,"12,057.50","12,193.03","12,232.93","11,975.46",,-1.11%
6/30/21,"12,193.03","12,263.83","12,274.38","12,166.08",,-0.58%
6/29/21,"12,263.83","12,284.71","12,306.23","12,146.72",,-0.17%
6/28/21,"12,284.71","12,270.19","12,296.66","12,165.80",,0.12%
6/25/21,"12,270.16","12,569.58","12,630.67","12,191.41",,-2.38%
6/24/21,"12,569.58","12,594.10","12,697.73","12,523.84",,-0.19%
6/23/21,"12,594.10","12,625.55","12,774.40","12,576.94",,-0.26%
6/22/21,"12,626.67","12,728.32","12,728.32","12,527.82",,-0.80%
6/21/21,"12,728.76","12,740.48","12,783.88","12,621.33",,-0.09%
6/18/21,"12,740.36","12,844.41","12,845.37","12,676.29",,-0.81%
6/17/21,"12,844.47","12,858.81","13,129.42","12,789.12",,-0.11%
6/16/21,"12,858.81","12,688.87","12,992.99","12,688.05",,1.34%
6/15/21,"12,688.73","12,616.73","12,710.36","12,571.54",,0.57%
6/14/21,"12,616.73","12,584.46","12,710.33","12,559.61",,0.26%
6/11/21,"12,584.46","12,695.45","12,697.77","12,463.58",,-0.88%
6/10/21,"12,695.89","12,736.14","12,855.45","12,608.49",,-0.29%
6/9/21,"12,733.42","12,714.60","12,888.21","12,506.25",,0.15%
6/8/21,"12,714.64","12,911.42","12,913.39","12,629.77",,-1.53%
6/7/21,"12,911.79","12,779.24","12,941.80","12,695.31",,1.04%
6/4/21,"12,779.24","12,620.23","12,791.19","12,584.03",,1.26%
6/2/21,"12,620.23","12,467.69","12,620.23","12,346.83",,1.23%
6/1/21,"12,466.89","12,248.19","12,466.89","12,248.19",,1.79%
5/31/21,"12,248.19","12,227.83","12,264.89","12,173.36",,0.17%
5/28/21,"12,227.83","12,103.51","12,237.76","12,077.75",,1.02%
5/27/21,"12,104.33","12,109.29","12,152.54","11,940.39",,-0.04%
5/26/21,"12,109.22","11,986.69","12,170.94","11,986.69",,1.02%
5/25/21,"11,986.58","12,161.80","12,185.87","11,945.66",,-1.44%
5/24/21,"12,161.71","11,961.25","12,180.64","11,959.58",,1.68%
5/21/21,"11,961.07","11,948.20","11,976.66","11,797.53",,0.11%
5/20/21,"11,948.15","11,835.92","11,992.55","11,834.07",,0.95%
